RegionName	City	State	CountyName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
7825	Blairstown	NJ	Warren	339500	338900	337500	336100	333900	331900	331300	331100	329500	327100	325200	323300	320900	317600	314600	312400	311600	311000	310300	309100	307900	305600	303100	300800	299500	298900	299300	299100	298000	295700	292600	289400	287700	286900	283900	279800	277700	276800	275500	273600	272100	271300	270800	270300	269700	268000	266400	265700	264300	262700	262100	261800	260800	260300	260000	259900	259100	258200	257000	256600	256500	257600	259300	261900	265300	269000	271900	274900	277300	280800	286100	289500	288200	286200	285100	284400	282500	280000	277800	276600	276800	277900	279200	281100	284900	288800
7826	Branchville	NJ	Sussex	297500	298500	299100	295900	289400	281400	276800	276800	277900	275500	272100	269900	269200	269100	269700	270300	271100	271900	271500	269400	266800	265400	264200	261500	258800	258000	256900	254900	252500	250700	248100	244000	241400	241600	242300	241800	240100	237900	236700	236400	236100	235300	234400	234400	233700	232500	232000	232600	233100	231800	229100	226400	224800	223000	221200	218300	214800	210900	207600	206600	207600	208600	209100	211000	214900	220100	225200	230000	233100	234400	234900	235400	234100	232600	234200	237400	238700	238800	238600	238000	238600	240400	241800	242000	243400	245300
7827	Montague	NJ	Sussex	219000	215600	209200	203200	198800	198700	205500	214900	219900	220800	220000	218700	218400	218600	218900	220000	222100	223600	223600	220900	218900	219000	219200	217100	215000	213900	213300	212200	211600	210100	206900	203000	199300	195700	193100	191100	188900	187300	185900	184400	182600	179800	175600	171700	169700	169300	168500	167200	166300	166800	168200	169100	168900	168400	166900	165100	164600	164400	164600	166600	168500	169300	170900	174200	178900	183600	186600	188000	188600	187600	184800	181600	178900	176600	176000	177100	174800	171800	174100	179900	182400	182900	184700	186700	189000	191400
7828	Budd Lake	NJ	Morris	328600	326400	324800	322800	320100	315800	312400	311000	309800	307900	305800	303600	301200	298500	296000	293800	292300	291900	292000	291300	289500	287700	287500	288000	287300	285800	284600	283300	281100	278700	276400	274700	273700	272700	271600	271300	270800	269300	268400	268300	267600	267000	266900	266400	265400	264100	261700	258400	255700	254700	254400	254100	254000	254000	253200	252700	253200	253600	253400	254200	255900	258100	260500	263500	266600	269600	271100	271800	272200	272800	273900	274400	273100	271200	269700	267500	265100	263800	263300	262600	262100	262100	262300	262600	264300	266400
7830	Tewksbury Township	NJ	Hunterdon	485200	478800	473600	468000	462300	458200	458100	460600	460400	457100	454500	453000	453500	453600	450400	447600	447000	446800	445400	442900	440900	440100	438800	437500	436300	434900	434400	434800	434800	433100	431600	431300	431700	429900	426100	422000	419200	417900	417400	416200	412900	408900	405100	401800	401100	401600	400400	398800	398700	398500	398300	399200	401700	404500	406000	406200	405600	404900	406700	410700	413300	412500	411100	412100	415200	418900	421500	422800	424400	427900	432700	438000	444400	448600	448300	446000	444500	444200	445000	445700	445500	445200	442800	437500	430700	425200
7832	Knowlton Township	NJ	Warren	301000	297800	294900	292300	289500	286600	285100	285200	285400	284800	283900	281600	280300	281400	284000	286500	288000	287700	287000	285800	284300	281800	277800	273700	270900	268800	266400	262500	257100	253100	251200	250300	249800	249200	246800	242800	239000	236000	233000	230400	229600	229300	228100	226500	225700	225800	226600	227000	226300	224500	222900	222400	222400	222700	222200	220700	219300	219100	218800	219200	220700	222600	223600	224800	227200	230600	233700	236100	237400	238800	242300	246100	247300	247600	247600	246400	244900	243200	241500	240900	240800	240300	240000	241000	243100	245100
7834	Denville	NJ	Morris	400900	398600	396500	394300	390800	386600	383700	381900	380600	379100	377800	376300	374700	373400	372000	370100	368800	369300	371000	372700	373500	373300	372400	371900	371200	370200	368600	367100	366100	365200	364600	364500	364800	364100	362200	359400	357100	354900	352600	350000	347900	346800	346300	346000	345400	343900	341700	339400	337800	337300	338200	339000	339000	338300	336800	335100	334300	333900	332800	332300	332500	333300	334700	336800	340300	344100	346000	346500	346200	349300	357500	366000	370700	373200	373900	374400	374400	373700	373200	372900	373000	373500	374100	374900	376400	377600
7836	Mt Olive Township	NJ	Morris	393800	391900	391000	390000	388200	385200	382600	380500	378200	375200	373300	371800	369700	367300	366300	365000	363300	362500	363600	365300	365600	363200	359900	356500	354200	352900	351000	348500	346600	345200	344300	343300	341800	339800	336800	333900	330600	327700	326200	324900	322800	321100	320100	319700	321000	322500	322100	320100	318900	318500	317900	317100	315900	315000	313100	311000	310500	310400	308300	307400	309200	312500	316400	320400	324700	328800	331500	333100	332800	333800	340000	347600	350300	349100	348000	348000	347200	344800	342600	341700	342600	344700	346400	347900	350300	352600
7838	Liberty Township	NJ	Warren	312900	311600	310500	308400	304700	303100	303300	303800	303400	303000	302800	302400	300100	296500	294800	295300	295900	294800	293000	291200	289400	287500	284600	281400	279600	278300	276700	274700	272500	271100	270200	269100	268300	267500	265000	261100	258200	256300	254000	251400	249200	247200	246000	245300	243700	241500	240300	238900	236900	236100	236200	235600	234500	233900	233200	232400	231700	230800	229700	229900	231900	234200	235000	235500	237700	240900	243300	245000	245400	246600	250600	255700	257700	257100	256300	256300	255400	253800	252200	251800	253800	256800	258400	259200	261300	263300
7840	Hackettstown	NJ	Warren	308500	305600	303400	301400	298800	296400	295000	294500	294400	293800	292000	289500	286800	284000	281200	278600	276700	275700	275800	276300	276500	275500	274200	272800	271300	269900	269000	268200	267300	266500	265600	264100	261900	259800	257700	255500	254200	253300	252200	251000	249700	248400	246800	245100	243400	242100	240500	238700	237100	236200	235700	235100	234400	233500	232300	230800	229900	229800	230300	231700	233900	236600	239400	242200	244800	247200	249600	251800	253300	254500	255500	255400	254200	253200	252300	250900	249200	248100	247200	247100	248100	249700	251100	252700	254700	256700
7843	Hopatcong	NJ	Sussex	256900	255800	252800	248600	245300	242900	241200	239800	237500	233800	230500	228700	228100	228700	231100	233800	235900	237800	238400	236800	234400	233300	232700	230700	228300	227100	226200	224500	222700	221300	219600	217900	215900	213900	211300	208700	206400	204100	201900	200500	198600	196100	194500	193400	192500	193100	193900	193500	192500	192100	192200	191700	189800	187200	185000	183100	182100	182000	182200	182300	182400	182300	182500	183000	184500	186600	188000	188800	189400	189200	188800	189000	189200	189300	190100	191500	192000	192200	192500	193100	193700	193400	192800	193200	195400	197800
7847	Succasunna	NJ	Morris	295800	295300	294500	293300	291300	288100	284700	282400	281100	278800	274900	270900	267900	266100	265000	263700	262800	262700	262600	262800	263700	263700	262900	262700	262900	262700	261800	260200	259000	258500	257500	255500	253500	251500	249300	246500	244400	242800	241400	240600	240300	239200	236900	234800	233700	233500	232600	231000	229600	228500	227700	226500	224200	222900	223900	225600	227700	229700	231000	231200	230900	232600	235500	237500	239100	241900	244400	244700	242300	241600	244700	249300	251700	251000	249700	250100	250200	248800	246400	244600	243400	242400	242100	243700	245700	247300
7848	Lafayette	NJ	Sussex	365200	367100	373200	374000	367000	364000	364100	361300	354600	346500	339800	335900	334600	334200	334300	334500	335200	334200	330300	328000	328000	327200	324400	321200	319800	319400	316900	311700	307800	306400	305600	303300	300900	300400	300900	302200	303600	302800	301300	302400	305300	303600	298500	294600	292400	291100	289800	285400	278200	272700	269600	266900	263600	261200	261000	261600	262900	264400	265800	267900	271000	271800	271400	270800	272500	275100	275600	273100	269900	267300	266700	267300	266500	264400	264500	268100	270900	271700	273600	276700	279700	280500	278900	277800	281100	285300
