RegionName	StateName	2008-06	2008-07	2008-08	2008-09	2008-10	2008-11	2008-12	2009-01	2009-02	2009-03	2009-04	2009-05	2009-06	2009-07	2009-08	2009-09	2009-10	2009-11	2009-12	2010-01	2010-02	2010-03	2010-04	2010-05	2010-06	2010-07	2010-08	2010-09	2010-10	2010-11	2010-12	2011-01	2011-02	2011-03	2011-04	2011-05	2011-06	2011-07	2011-08	2011-09	2011-10	2011-11	2011-12	2012-01	2012-02	2012-03	2012-04	2012-05	2012-06	2012-07	2012-08	2012-09	2012-10	2012-11	2012-12	2013-01	2013-02	2013-03	2013-04	2013-05	2013-06	2013-07	2013-08	2013-09	2013-10	2013-11	2013-12	2014-01	2014-02	2014-03	2014-04	2014-05	2014-06	2014-07	2014-08	2014-09	2014-10	2014-11	2014-12	2015-01	2015-02	2015-03	2015-04	2015-05	2015-06	2015-07
13084	NY	5	3	6	5	4	2	5	0	1	1	1	2	4	7	4	4	4	4	3	1	1	1	4	1	7	3	3	3	4	1	2	0	1	3	2	2	2	4	3	2	2	0	0	0	1	2	3	2	5	5	5	8	3	3	1	3	1	3	1	4	1	4	5	5	8	6	4	0	1	1	0	3	5	2	5	3	5	1	4	2	2	4	2	0	0	0
13088	NY	32	21	26	22	24	25	16	7	7	12	20	12	20	42	31	16	26	31	19	9	14	9	34	26	27	17	21	13	16	19	12	4	13	15	9	19	23	21	23	21	17	16	16	12	20	13	15	24	21	18	25	25	27	20	20	15	8	10	21	14	22	34	22	25	27	19	17	5	10	18	20	17	26	11	30	25	21	18	22	7	7	10	19	12	0	0
13092	NY	5	3	0	1	1	1	0	0	0	1	2	1	3	2	3	1	2	0	0	1	0	0	1	1	3	0	1	1	1	1	2	1	0	2	1	0	2	1	1	1	2	3	0	1	0	1	1	0	4	0	2	0	0	2	0	1	1	3	0	1	1	1	2	3	2	2	3	2	1	1	1	1	0	2	2	3	3	1	0	2	0	2	2	2	1	2
13101	NY	1	1	4	2	2	2	1	0	2	0	1	1	0	1	3	1	4	4	2	1	2	0	0	1	0	1	2	2	3	2	3	0	0	1	0	2	0	3	1	0	3	1	1	0	1	0	5	1	1	1	2	4	3	3	0	0	1	0	1	0	4	0	1	2	0	1	3	0	1	0	2	0	0	3	1	0	1	1	3	3	3	2	2	1	1	0
13104	NY	25	24	22	17	19	14	9	5	9	11	11	14	19	22	20	19	17	17	14	15	10	11	16	21	25	22	18	15	16	15	17	10	14	7	15	11	19	13	32	20	12	16	19	16	6	13	13	20	25	33	29	15	14	17	25	9	9	18	20	11	27	41	29	20	24	22	9	12	8	15	12	18	31	25	37	13	18	13	23	11	8	7	19	14	0	0
13108	NY	5	13	4	13	5	5	5	0	1	4	5	4	6	6	6	7	6	3	5	3	2	6	7	5	12	5	12	12	4	7	5	4	3	4	7	7	6	7	6	5	5	3	8	5	6	4	2	5	5	7	6	2	6	4	4	2	1	1	4	5	3	10	5	9	2	3	12	3	0	3	3	4	5	6	7	6	6	7	3	6	1	1	3	4	0	0
13110	NY	1	1	0	1	0	2	3	0	2	3	1	2	2	2	5	0	2	1	0	1	1	3	1	1	0	4	1	0	2	1	0	0	0	0	1	1	1	0	2	1	1	0	0	0	2	1	0	2	2	0	4	0	0	1	1	1	1	0	1	0	3	4	4	1	0	2	4	2	1	0	2	1	2	1	2	1	1	2	2	1	0	0	1	0	0	0
13112	NY	4	3	0	2	2	2	1	2	1	0	1	3	1	3	0	0	4	2	1	0	0	1	0	2	2	0	1	0	1	2	2	0	0	1	1	1	0	1	2	5	4	4	2	0	1	0	0	1	2	1	0	3	1	1	1	1	1	0	2	0	0	3	1	2	4	3	1	2	0	2	0	1	4	2	2	2	1	3	0	2	1	1	1	0	0	0
13114	NY	5	9	6	2	7	5	5	0	1	0	3	3	3	3	7	2	10	1	2	2	1	3	1	4	6	3	6	2	6	4	5	2	1	2	2	6	3	5	4	8	4	3	5	3	1	4	4	2	4	4	7	2	6	6	5	2	3	4	3	3	4	3	6	8	3	2	4	3	4	2	3	3	4	6	3	5	4	2	6	6	1	3	3	4	4	6
13116	NY	6	17	10	4	7	4	7	1	3	4	2	4	2	6	5	4	4	6	1	2	2	4	4	5	9	9	5	4	8	3	5	5	0	1	4	5	2	4	5	4	2	6	4	2	2	1	7	5	2	9	3	6	3	1	2	4	1	5	6	5	6	4	3	1	3	1	3	4	1	0	1	1	2	7	2	6	5	2	3	3	2	1	2	0	0	0
